## "NAME","SECTION","DAY","START","FINISH","PROF","Course Name"

"ECE442H1F","LEC 01","Fri",11:00:00,12:00:00,"Jugessur, A.",

"ECE445H1F","LEC 01","Tue",16:00:00,17:00:00,"Bardakjian, B.","NeuralBio"
"ECE445H1F","LEC 01","Wed",12:00:00,13:00:00,"Bardakjian, B.",
"ECE445H1F","LEC 01","Fri",14:00:00,15:00:00,"Bardakjian, B.",

"ECE446H1F","LEC 01","Mon",12:00:00,13:00:00,"Wong, W.","SensoryComm"
"ECE446H1F","LEC 01","Tue",11:00:00,12:00:00,"Wong, W.",
"ECE446H1F","LEC 01","Thu",13:00:00,14:00:00,"Wong, W.",

"ECE448H1F","LEC 01","Tue",13:00:00,14:00:00,"Truong, Kevin","BioComp"
"ECE448H1F","LEC 01","Wed",09:00:00,10:00:00,"Truong, Kevin",
"ECE448H1F","LEC 01","Fri",13:00:00,14:00:00,"Truong, Kevin",

"ECE452H1F","LEC 01","Wed",13:00:00,14:00:00,"Chow, Paul","CompArch"
"ECE452H1F","LEC 01","Mon",13:00:00,14:00:00,"Chow, Paul",
"ECE452H1F","LEC 01","Fri",12:00:00,13:00:00,"Chow, Paul",

"ECE452H1F","LEC 02","Mon",10:00:00,11:00:00,"Enright, Jerger","CompArch"
"ECE452H1F","LEC 02","Wed",10:00:00,11:00:00,"Enright, Jerger",
"ECE452H1F","LEC 02","Fri",10:00:00,11:00:00,"Enright, Jerger",

"ECE454H1F","LEC 01","Tue",15:00:00,16:00:00,"Amza, C","SystemsProgramming"
"ECE454H1F","LEC 01","Tue",16:00:00,17:00:00,"Amza, C",
"ECE454H1F","LEC 01","Wed",14:00:00,15:00:00,"Amza, C",

"ECE461H1F","LEC 01","Mon",12:00:00,13:00:00,"Liebeherr, Jorg","Internetworking"
"ECE461H1F","LEC 01","Tue",09:00:00,10:00:00,"Liebeherr, Jorg",
"ECE461H1F","LEC 01","Wed",16:00:00,17:00:00,"Liebeherr, Jorg",

"ECE472H1F","LEC 01","Fri",09:00:00,10:00:00,"VanderKraats, R.","EngEco"
"ECE472H1F","LEC 01","Wed",10:00:00,11:00:00,"VanderKraats, R.",
"ECE472H1F","LEC 01","Tue",12:00:00,13:00:00,"VanderKraats, R.",

"ECE472H1F","LEC 02","Mon",15:00:00,16:00:00,"VanderKraats, R.","EngEco"
"ECE472H1F","LEC 02","Wed",15:00:00,16:00:00,"VanderKraats, R.",
"ECE472H1F","LEC 02","Thu",15:00:00,16:00:00,"VanderKraats, R.",

"ECE488H1F","LEC 01","Mon",18:00:00,19:00:00,"Paradi, Joseph","EntreEng"
"ECE488H1F","LEC 01","Mon",19:00:00,20:00:00,"Paradi, Joseph",
"ECE488H1F","LEC 01","Mon",20:00:00,21:00:00,"Paradi, Joseph",

"ECE512H1F","LEC 01","Mon",13:00:00,14:00:00,"Johns, David","AnalogSP"
"ECE512H1F","LEC 01","Wed",09:00:00,10:00:00,"Johns, David",
"ECE512H1F","LEC 01","Thu",10:00:00,11:00:00,"Johns, David",

"ECE524H1F","LEC 01","Mon",12:00:00,13:00:00,"Eleftheriades, G.","MicrowaveCircuits"
"ECE524H1F","LEC 01","Tue",12:00:00,13:00:00,"Eleftheriades, G.",
"ECE524H1F","LEC 01","Tue",00:00:00,00:00:00,"Eleftheriades, G.",

"ECE527H1F","LEC 01","Mon",10:00:00,11:00:00,"Helmy, A.","PhotonicDevices"
"ECE527H1F","LEC 01","Wed",11:00:00,12:00:00,"Helmy, A.",
"ECE527H1F","LEC 01","Wed",00:00:00,00:00:00,"Helmy, A.",

"ECE533H1F","LEC 01","Thu",12:00:00,13:00:00,"Trescases, Olivier","AdvancedPower"
"ECE533H1F","LEC 01","Tue",15:00:00,16:00:00,"Trescases, Olivier",
"ECE533H1F","LEC 01","Wed",18:00:00,19:00:00,"Trescases, Olivier",

"ECE534H1F","LEC 01","Thu",13:00:00,14:00:00,"Ng, Wai","ICEng"
"ECE534H1F","LEC 01","Mon",15:00:00,16:00:00,"Ng, Wai",
"ECE534H1F","LEC 01","Mon",00:00:00,00:00:00,"Ng, Wai",

"ECE535H1F","LEC 01","Mon",18:00:00,19:00:00,"Voinigescu, S.","AdElecDevices"
"ECE535H1F","LEC 01","Mon",19:00:00,20:00:00,"Voinigescu, S.",
"ECE535H1F","LEC 01","Mon",00:00:00,00:00:00,"Voinigescu, S.",

"ECE557H1F","LEC 01","Tue",13:00:00,14:00:00,"Maggiore, M.","SystemsControl"
"ECE557H1F","LEC 01","Thu",11:00:00,12:00:00,"Maggiore, M.",
"ECE557H1F","LEC 01","Wed",17:00:00,18:00:00,"Maggiore, M.",
